epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.522,1.9685,3.17465,1.4781,0.76846,0.61839,0.72973,0.38437,1.72229,1.43265,1.3805,0.00333109,0.00333109,0.00333109
2,326.069,1.77498,1.87216,1.3481,0.73569,0.74785,0.77934,0.42037,1.70008,1.32689,1.37066,0.00659844,0.00659844,0.00659844
3,485.162,1.78343,1.57236,1.36835,0.71095,0.71943,0.7535,0.39627,1.7331,1.30699,1.40798,0.0097998,0.0097998,0.0097998
4,643.597,1.7707,1.41363,1.38384,0.8188,0.77078,0.83585,0.47461,1.64845,1.07847,1.36888,0.009703,0.009703,0.009703
5,801.999,1.7127,1.27041,1.35987,0.80842,0.80345,0.86227,0.50141,1.61318,1.0129,1.35653,0.009604,0.009604,0.009604
6,960.174,1.66502,1.17849,1.33833,0.80018,0.84374,0.87116,0.51688,1.61654,0.9636,1.35623,0.009505,0.009505,0.009505
7,1118.36,1.63658,1.12699,1.32643,0.82621,0.83549,0.89302,0.53528,1.58597,0.88753,1.34417,0.009406,0.009406,0.009406
8,1276.52,1.61553,1.08164,1.32147,0.85892,0.84563,0.89915,0.55115,1.54839,0.87825,1.31987,0.009307,0.009307,0.009307
9,1434.67,1.59715,1.05471,1.31061,0.84343,0.8723,0.91058,0.57368,1.54015,0.82451,1.32367,0.009208,0.009208,0.009208
10,1592.65,1.57733,1.02097,1.30011,0.85632,0.86093,0.9128,0.57798,1.53444,0.8115,1.31506,0.009109,0.009109,0.009109
11,1750.52,1.56222,0.99965,1.29511,0.85877,0.86823,0.9179,0.58278,1.52153,0.78992,1.30779,0.00901,0.00901,0.00901
12,1908.52,1.55056,0.9743,1.28809,0.86583,0.87752,0.92049,0.59252,1.50715,0.76691,1.30556,0.008911,0.008911,0.008911
13,2066.38,1.53369,0.958,1.27769,0.87056,0.87163,0.92632,0.60228,1.49447,0.75071,1.28913,0.008812,0.008812,0.008812
14,2224.28,1.52681,0.94497,1.27618,0.85697,0.89349,0.93351,0.60772,1.49258,0.7389,1.29096,0.008713,0.008713,0.008713
15,2382.23,1.51579,0.92839,1.26967,0.87428,0.88643,0.93213,0.60746,1.48376,0.73,1.28861,0.008614,0.008614,0.008614
16,2540.13,1.50575,0.91455,1.26994,0.8714,0.89109,0.93122,0.61565,1.47384,0.72106,1.28659,0.008515,0.008515,0.008515
